entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P37_BILYK_Catryna_5_21,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-11-08,2015-11-12,Canberra,5,273.00,0.00,1365.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_22,BILYK_Catryna,P37_BILYK_Catryna,"Australian Commission for Law",2015-11-15,2015-11-15,Brisbane,1,408.00,0.00,408.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_24,BILYK_Catryna,P37_BILYK_Catryna,"Australian Commission for Law",2015-11-16,2015-11-16,Sydney,1,397.00,0.00,397.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_26,BILYK_Catryna,P37_BILYK_Catryna,"Australian Commission for Law",2015-11-17,2015-11-17,Adelaide,1,359.00,0.00,359.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_28,BILYK_Catryna,P37_BILYK_Catryna,"Australian Commission for Law",2015-11-18,2015-11-18,Melbourne,1,379.00,0.00,379.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_30,BILYK_Catryna,P37_BILYK_Catryna,"Australian Commission for Law",2015-11-19,2015-11-19,Devonport,1,291.00,0.00,291.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_32,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-11-22,2015-11-26,Canberra,5,273.00,0.00,1365.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_33,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-11-29,2015-12-03,Canberra,5,273.00,0.00,1365.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_4,BILYK_Catryna,P37_BILYK_Catryna,"Electorate Business",2015-07-17,2015-07-17,Launceston,1,281.00,0.00,281.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_5,BILYK_Catryna,P37_BILYK_Catryna,"Parliamentary Political Party Meeting",2015-07-23,2015-07-25,Melbourne,3,377.00,0.00,1131.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_6,BILYK_Catryna,P37_BILYK_Catryna,"Legal and Constitutional Affairs",2015-08-02,2015-08-02,Canberra,1,271.00,0.00,271.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_7,BILYK_Catryna,P37_BILYK_Catryna,"Legal and Constitutional Affairs",2015-08-04,2015-08-04,Melbourne,1,377.00,0.00,377.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_8,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-08-09,2015-08-13,Canberra,5,271.00,0.00,1355.00,P37_BILYK_Catryna.pdf,5
